1, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
365, integrated_stronghold:stronghold, MONSTER, minecraft:enderman, 5, 1, 1
366, nova_structures:firewatch_tower_savanna, HEADING, header:ignore, 0, 0, 0
367, mvs:other_decoration/crimson_enchanting_table, HEADING, header:ignore, 0, 0, 0
368, mvs:other_decoration/nether_devil, HEADING, header:ignore, 0, 0, 0
369, repurposed_structures:mansion_birch, HEADING, header:ignore, 0, 0, 0
370, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
371, nova_structures:badlands_miner_outpost, HEADING, header:ignore, 0, 0, 0
372, nova_structures:badlands_miner_outpost, MONSTER, minecraft:pillager, 5, 1, 16
373, mvs:other_decoration/end_scraps/end_scraps_3, HEADING, header:ignore, 0, 0, 0
374, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
375, repurposed_structures:pyramid_icy, HEADING, header:ignore, 0, 0, 0
376, repurposed_structures:pyramid_icy, MONSTER, minecraft:stray, 80, 10, 32
377, repurposed_structures:pyramid_icy, CREATURE, minecraft:polar_bear, 80, 1, 1
378, repurposed_structures:pyramid_icy, CREATURE, minecraft:rabbit, 80, 4, 4
379, repurposed_structures:outpost_jungle, HEADING, header:ignore, 0, 0, 0
380, repurposed_structures:outpost_jungle, MONSTER, minecraft:pillager, 10, 1, 1
381, mvs:log_pile/dark_oak_log_pile, HEADING, header:ignore, 0, 0, 0
382, mvs:well/wells/snowy_well, HEADING, header:ignore, 0, 0, 0
383, mvs:houses/small_swamp_house, HEADING, header:ignore, 0, 0, 0
384, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
385, nova_structures:jungle_ruins, HEADING, header:ignore, 0, 0, 0
386, mvs:ruins/ruined_beacon, HEADING, header:ignore, 0, 0, 0
387, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
388, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
389, repurposed_structures:mineshaft_dark_forest, HEADING, header:ignore, 0, 0, 0
390, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
391, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
392, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 5, 1, 1
393, mvs:stone_fountain, HEADING, header:ignore, 0, 0, 0
394, mvs:houses/tall_house, HEADING, header:ignore, 0, 0, 0
395, repurposed_structures:stronghold_nether, HEADING, header:ignore, 0, 0, 0
396, repurposed_structures:stronghold_nether, MONSTER, minecraft:blaze, 10, 2, 3
397, repurposed_structures:stronghold_nether, MONSTER, minecraft:zombified_piglin, 30, 4, 4
398, repurposed_structures:stronghold_nether, MONSTER, minecraft:wither_skeleton, 10, 5, 5
399, repurposed_structures:stronghold_nether, MONSTER, minecraft:skeleton, 20, 5, 5
400, repurposed_structures:stronghold_nether, MONSTER, minecraft:magma_cube, 30, 4, 4
401, repurposed_structures:mineshaft_icy, HEADING, header:ignore, 0, 0, 0
402, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
403, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 1
404, minecraft:swamp_hut, CREATURE, minecraft:cat, 5, 1, 1
405, nova_structures:conduit_ruin, HEADING, header:ignore, 0, 0, 0
406, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
407, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
408, repurposed_structures:temple_nether_basalt, HEADING, header:ignore, 0, 0, 0
409, repurposed_structures:mineshaft_swamp, HEADING, header:ignore, 0, 0, 0
410, mvs:well/wells/rocky_well, HEADING, header:ignore, 0, 0, 0
411, mvs:well/rare_well, HEADING, header:ignore, 0, 0, 0
412, repurposed_structures:igloo_mushroom, HEADING, header:ignore, 0, 0, 0
413, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
414, repurposed_structures:ruined_portal_end, HEADING, header:ignore, 0, 0, 0
415, awesomedungeonnether:nth_blaze_tower, HEADING, header:ignore, 0, 0, 0
416, repurposed_structures:ancient_city_ocean, HEADING, header:ignore, 0, 0, 0
417, repurposed_structures:ancient_city_ocean, MONSTER, minecraft:drowned, 10, 2, 5
418, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
419, repurposed_structures:outpost_oak, HEADING, header:ignore, 0, 0, 0
420, repurposed_structures:outpost_oak, MONSTER, minecraft:pillager, 10, 1, 1
421, graveyard:small_mountain_grave, HEADING, header:ignore, 0, 0, 0
422, graveyard:large_graveyard, HEADING, header:ignore, 0, 0, 0
423, graveyard:large_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
424, graveyard:large_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
425, graveyard:large_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
426, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
427, nova_structures:firewatch_tower_mangrove, HEADING, header:ignore, 0, 0, 0
428, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
429, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
430, tlc:lost_castle, HEADING, header:ignore, 0, 0, 0
431, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
432, mvs:well/wells/end_well, HEADING, header:ignore, 0, 0, 0
433, repurposed_structures:ruins_nether, HEADING, header:ignore, 0, 0, 0
434, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
435, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
436, repurposed_structures:pyramid_flower_forest, HEADING, header:ignore, 0, 0, 0
437, repurposed_structures:pyramid_flower_forest, MONSTER, minecraft:zombie, 80, 10, 32
438, repurposed_structures:pyramid_flower_forest, MONSTER, minecraft:creeper, 10, 4, 10
439, repurposed_structures:pyramid_flower_forest, CREATURE, minecraft:bee, 80, 2, 4
440, repurposed_structures:pyramid_flower_forest, CREATURE, minecraft:rabbit, 80, 4, 4
441, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
442, nova_structures:firewatch_tower_jungle, HEADING, header:ignore, 0, 0, 0
443, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
444, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
445, mvs:other_decoration/end_scraps/end_scraps_2, HEADING, header:ignore, 0, 0, 0
446, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
447, mvs:carts/large_cart_1, HEADING, header:ignore, 0, 0, 0
448, nova_structures:firewatch_tower_birch, HEADING, header:ignore, 0, 0, 0
449, repurposed_structures:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
450, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
451, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
452, repurposed_structures:village_jungle, HEADING, header:ignore, 0, 0, 0
453, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
454, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
455, repurposed_structures:monument_jungle, HEADING, header:ignore, 0, 0, 0
456, repurposed_structures:monument_jungle, MONSTER, minecraft:spider, 25, 1, 2
457, repurposed_structures:monument_jungle, MONSTER, minecraft:skeleton, 10, 1, 3
458, mvs:carts/large_cart_2, HEADING, header:ignore, 0, 0, 0
459, forgero:small_forging_house_plains, HEADING, header:ignore, 0, 0, 0
460, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
461, mvs:stall/red_stall, HEADING, header:ignore, 0, 0, 0
462, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
463, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
464, repurposed_structures:temple_ocean, HEADING, header:ignore, 0, 0, 0
465, nova_structures:tavern_acacia, HEADING, header:ignore, 0, 0, 0
466, repurposed_structures:igloo_mangrove, HEADING, header:ignore, 0, 0, 0
467, nova_structures:undead_crypt, HEADING, header:ignore, 0, 0, 0
468, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
469, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
470, forgero:medium_smithing_house_deepslate, HEADING, header:ignore, 0, 0, 0
471, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
472, mvs:horse_pen, HEADING, header:ignore, 0, 0, 0
473, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
474, nova_structures:well_dark_oak, HEADING, header:ignore, 0, 0, 0
475, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
476, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 5, 1, 1
477, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 5, 1, 1
478, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
479, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
480, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
481, nova_structures:tavern_birch, HEADING, header:ignore, 0, 0, 0
482, minecraft:monument, HEADING, header:ignore, 0, 0, 0
483, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
484, mvs:log_pile/jungle_log_pile, HEADING, header:ignore, 0, 0, 0
485, mvs:other_decoration/desert_pump, HEADING, header:ignore, 0, 0, 0
486, repurposed_structures:village_mushroom, HEADING, header:ignore, 0, 0, 0
487, repurposed_structures:shipwreck_crimson, HEADING, header:ignore, 0, 0, 0
488, repurposed_structures:shipwreck_crimson, MONSTER, minecraft:wither_skeleton, 10, 1, 1
489, mvs:well/wells/spruce_well, HEADING, header:ignore, 0, 0, 0
490, mvs:small_ship, HEADING, header:ignore, 0, 0, 0
491, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
492, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
493, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
494, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
495, nova_structures:well_birch, HEADING, header:ignore, 0, 0, 0
496, mvs:well/wells/nether_well, HEADING, header:ignore, 0, 0, 0
497, mvs:well/wells/mushroom_well, HEADING, header:ignore, 0, 0, 0
498, repurposed_structures:witch_hut_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
499, repurposed_structures:witch_hut_giant_tree_taiga, MONSTER, minecraft:witch, 5, 1, 1
500, repurposed_structures:witch_hut_giant_tree_taiga, CREATURE, minecraft:cat, 5, 1, 1
501, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
502, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
503, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
504, repurposed_structures:mansion_snowy, HEADING, header:ignore, 0, 0, 0
505, mvs:shed, HEADING, header:ignore, 0, 0, 0
506, repurposed_structures:mineshaft_birch, HEADING, header:ignore, 0, 0, 0
507, mvs:log_pile/acacia_log_pile, HEADING, header:ignore, 0, 0, 0
508, mvs:houses/azelea_house, HEADING, header:ignore, 0, 0, 0
509, nova_structures:tavern_spruce, HEADING, header:ignore, 0, 0, 0
510, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
511, mvs:well/small_well, HEADING, header:ignore, 0, 0, 0
512, mvs:other_decoration/end_scraps/end_scraps_4, HEADING, header:ignore, 0, 0, 0
513, repurposed_structures:fortress_jungle_yungs, HEADING, header:ignore, 0, 0, 0
514, repurposed_structures:fortress_jungle_yungs, MONSTER, minecraft:wither_skeleton, 5, 1, 1
515, repurposed_structures:fortress_jungle_yungs, MONSTER, minecraft:skeleton, 10, 1, 3
516, repurposed_structures:fortress_jungle_yungs, MONSTER, minecraft:zombie, 10, 1, 4
517, repurposed_structures:fortress_jungle_yungs, MONSTER, minecraft:spider, 10, 1, 3
518, repurposed_structures:fortress_jungle_yungs, MONSTER, minecraft:creeper, 5, 1, 2
519, repurposed_structures:fortress_jungle_yungs, MONSTER, minecraft:enderman, 30, 1, 2
520, repurposed_structures:fortress_jungle_yungs, MONSTER, minecraft:witch, 20, 1, 2
521, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
522, repurposed_structures:witch_hut_dark_forest, HEADING, header:ignore, 0, 0, 0
523, repurposed_structures:witch_hut_dark_forest, MONSTER, minecraft:witch, 5, 1, 1
524, repurposed_structures:witch_hut_dark_forest, CREATURE, minecraft:cat, 5, 1, 1
525, repurposed_structures:shipwreck_end, HEADING, header:ignore, 0, 0, 0
526, mvs:railway, HEADING, header:ignore, 0, 0, 0
527, nova_structures:bunker, HEADING, header:ignore, 0, 0, 0
